video_id,content_type,target_query,transcript_kind,clip_index,t_start,t_end,duration_sec,label,boundary_quality,whisper_first_word,whisper_last_word,start_precision_ms,end_precision_ms,starts_mid_word,ends_mid_sentence,starts_on_filler,is_usable,error
WUvTyaaNkzM,lecture,essence of calculus,manual,1,15.356,35.972,20.616,Might Lead Maybe Radius,whisper-word,"everyone,",specifically.,0.0,176.00000000000193,False,False,False,True,
WUvTyaaNkzM,lecture,essence of calculus,manual,2,15.356,56.708,41.352,,whisper-word,"everyone,",yourself.,0.0,11.99999999999335,False,False,False,True,
WUvTyaaNkzM,lecture,essence of calculus,manual,3,16.876,41.812,24.935999999999996,,whisper-word,This,memorized.,39.99999999999915,4.0000000000048885,False,False,False,True,
WUvTyaaNkzM,lecture,essence of calculus,manual,4,218.62,246.116,27.49600000000001,These Rectangles,whisper-word,even,rings.,0.0,3.9999999999906777,False,False,False,True,
WUvTyaaNkzM,lecture,essence of calculus,manual,5,419.636,443.824,24.187999999999988,Original Problem Underneath,whisper-word,take,3.,19.99999999998181,2.0000000000095497,False,False,False,True,
WUvTyaaNkzM,lecture,essence of calculus,manual,6,640.348,689.164,48.81600000000003,Mystery Function Change,whisper-word,holds,wall.,379.99999999999545,24.00000000000091,True,False,False,False,
WUvTyaaNkzM,lecture,essence of calculus,manual,7,945.158,969.984,24.826000000000022,Slight Nudge Derivatives Derivative,whisper-word,of,explorations.,0.0,5.999999999971806,False,False,False,True,
aircAruvnKk,lecture,neural network,manual,1,67.268,105.764,38.495999999999995,Neural Network Number,whisper-word,you've,digits.,19.99999999999602,24.00000000001512,False,False,False,True,
aircAruvnKk,lecture,neural network,manual,2,67.268,100.048,32.78,,whisper-word,you've,learning.,0.0,39.99999999999204,False,False,False,True,
aircAruvnKk,lecture,neural network,manual,3,85.02,139.024,54.004000000000005,,whisper-word,hope,frills.,19.99999999999602,64.00000000002137,False,False,False,True,
aircAruvnKk,lecture,neural network,manual,4,273.224,297.016,23.79200000000003,Loop Top,whisper-word,way,fire.,0.0,32.00000000003911,False,False,False,True,
aircAruvnKk,lecture,neural network,manual,5,698.028,749.836,51.80799999999999,Weighted Sum Weights Other,whisper-word,every,ways.,80.00000000004093,148.00000000002456,True,False,False,False,
aircAruvnKk,lecture,neural network,manual,6,762.64,793.94,31.300000000000068,Write Down Vector Matrix,whisper-word,thought,improve,9.999999999990905,50.00000000006821,False,True,False,False,
aircAruvnKk,lecture,neural network,manual,7,973.372,1007.624,34.252000000000066,Take Challenge Relu,whisper-word,how,you.,9.999999999990905,17.999999999915417,False,False,False,True,
